cm,ms
11.90827012,10
9.705969995,20
8.864247355,30
7.813533384,40
7.22376283,50
5.17739757,60
5.363558137,70
4.131303746,80
2.752714596,90
1.265844077,100
1.559232421,110
1.297631184,120
0.014778594,130
-0.174045062,140
0.736371391,150
-0.67504524,160
0.25341562,170
0.450025947,180
-0.146748697,190
1.375385952,200
1.727817942,210
2.018963055,220
1.572879109,230
2.133883107,240
2.804487962,250
4.686400723,260
4.875333153,270
6.747273801,280
6.624643434,290
8.137503642,300
9.056986858,310
10.72952029,320
11.34363836,330
12.70136184,340
15.08064259,350
15.54877296,360
17.03530198,370
18.20104348,380
19.26438852,390
19.94377753,400
20.65631369,410
20.1753523,420
22.1996453,430
21.34626273,440
22.06893512,450
23.2784413,460
24.08456039,470
23.38314213,480
23.98448942,490
22.66454425,500
22.93237193,510
22.06333862,520
22.27185974,530
21.18806398,540
20.00983893,550
18.73618685,560
18.41215619,570
17.97128413,580
17.41571002,590
15.46208979,600
13.68054488,610
14.25737522,620
11.30787327,630
10.93370958,640
10.4890243,650
9.131556394,660
8.546678133,670
5.903078688,680
5.265003087,690