,ini_size,RH,Rf,vt,Suspension_time,location
Breathing,1.4,0.4,6.11506E-07,5.48439E-05,31908.75084,lounge
Breathing,1.4,0.5,6.49822E-07,6.19321E-05,28256.75626,conservatory
Breathing,1.4,0.75,8.18725E-07,9.83111E-05,17800.64101,garage
Breathing,1.4,0.8,8.81945E-07,0.00011408,15340.1274,outside
Speaking,2,0.4,8.7358E-07,0.000111926,15635.28791,lounge
Speaking,2,0.5,9.28318E-07,0.000126392,13845.81057,conservatory
Speaking,2,0.75,1.16961E-06,0.000200635,8722.314094,garage
Speaking,2,0.8,1.25992E-06,0.000232816,7516.662425,outside
Shouting,10,0.4,4.3679E-06,0.002798158,625.4115165,lounge
Shouting,10,0.5,4.64159E-06,0.003159801,553.8324227,conservatory
Shouting,10,0.75,5.84804E-06,0.005015871,348.8925638,garage
Shouting,10,0.8,6.29961E-06,0.005820402,300.666497,outside
Sneezing,7,0.4,3.05753E-06,0.001371097,1276.350034,lounge
Sneezing,7,0.5,3.24911E-06,0.001548302,1130.27025,conservatory
Sneezing,7,0.75,4.09362E-06,0.002457777,712.0256403,garage
Sneezing,7,0.8,4.40972E-06,0.002851997,613.6050959,outside
Playing Instrument,1.3,0.4,5.67827E-07,4.72889E-05,37006.59861,lounge
Playing Instrument,1.3,0.5,6.03407E-07,5.34006E-05,32771.14927,conservatory
Playing Instrument,1.3,0.75,7.60245E-07,8.47682E-05,20644.5304,garage
Playing Instrument,1.3,0.8,8.18949E-07,9.83648E-05,17790.91698,outside